Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Muniz Freire (ES),74.24,15.1,15.62,421.86
Muquém de São Francisco (BA),70.63,25.5,27.66,166.67
Muqui (ES),73.1,16.8,12.18,528.68
Muriaé (MG),76.18,14.7,8.03,758.46
Muribeca (SE),71.24,23.9,27.09,286.8
Murici (AL),66.11,43.5,33.11,233.16
Murici dos Portelas (PI),71.61,23.1,42.94,167.87
Muricilândia (TO),69.72,27.4,26.08,234.22
Muritiba (BA),72.74,19.8,18.01,401.14
Murutinga do Sul (SP),75.84,13.5,8.88,636.47
Mutuípe (BA),70.08,27.2,25.18,374.8
Mutum (MG),74.3,16.4,19.43,415.41
Mutunópolis (GO),73.34,15.5,19.28,512.49
Muzambinho (MG),76.51,13.1,6.53,719.94
Nacip Raydan (MG),74.85,15.6,24.11,429.34
Nantes (SP),72.41,19,14.56,472.28
Nanuque (MG),76.02,13.8,16.57,505.55
Não-Me-Toque (RS),75.8,12.5,3.94,1051.05
Naque (MG),74.32,16.4,16.74,408.75
Narandiba (SP),75.33,14.2,12.18,482.74
Natalândia (MG),75.78,14.2,15.48,431.11
Natal (RN),75.08,14.35,8.73,950.34
Natércia (MG),73.28,18.1,10.17,541.69
Natividade da Serra (SP),73.86,16.6,17.56,496.93
Natividade (RJ),73.36,16.4,11.88,653.23
Natividade (TO),75.81,12.4,20.64,446.32
Natuba (PB),67.61,35.2,42.34,198.68
Navegantes (SC),77.37,10.5,4.44,756.39
Naviraí (MS),73.15,21.2,10.82,683.86
Nazaré (BA),71.64,22.6,19.76,421.82
Nazaré da Mata (PE),72.31,20.5,20.25,351.46
Nazaré do Piauí (PI),67.41,36.5,33.6,218.07
Nazareno (MG),74.82,15.6,9.49,491.13
Nazaré Paulista (SP),74.08,16.2,11.91,554.18
Nazaré (TO),72.52,19.7,22.47,302.39
Nazarezinho (PB),69.83,27.9,33.69,213.53
Nazária (PI),71.78,22.6,32.76,239.37
Nazário (GO),73.45,15.4,13.55,631.12
Neópolis (SE),67.13,37.2,24.36,286.69
Nepomuceno (MG),74.3,16.4,11.97,480.79
Nerópolis (GO),74.2,14.3,9.02,555.47
Neves Paulista (SP),74.38,15.7,7.46,784.55
Nhamundá (AM),71.73,20.7,9.85,195.12
Nhandeara (SP),75.08,13.5,7.6,878.42
Nicolau Vergueiro (RS),75.33,13.1,5.83,974.79
Nilo Peçanha (BA),70.72,25.3,28.11,218.32
Nilópolis (RJ),73.99,15.75,2.22,755.26
Nina Rodrigues (MA),71.45,24.9,31.44,152.75
Ninheira (MG),72.01,20.4,37.61,210.17
Nioaque (MS),74.34,19,13.19,480.75
Nipoã (SP),73.81,16.6,8.91,628.33
Niquelândia (GO),73.34,15.5,13.32,659.49
Nísia Floresta (RN),71.37,22.7,24.07,337.75
Niterói (RJ),76.23,12.91,2.34,2000.29
Nobres (MT),74.64,15.9,12.92,533.53
Nonoai (RS),74.98,12.8,11.79,634.06
Nordestina (BA),69.58,28.7,32.31,187.22
Normandia (RR),73.06,17.2,13.7,203.43
Nortelândia (MT),72.56,19.4,13.63,466.17
Nossa Senhora Aparecida (SE),71.45,23.3,40.64,289.16
Nossa Senhora da Glória (SE),70.02,27.5,28.77,316.84
Nossa Senhora das Dores (SE),69.93,27.8,30.71,294.53
Nossa Senhora das Graças (PR),74.94,12.8,13.35,547.55
Nossa Senhora de Lourdes (SE),68.13,33.6,31.29,261.29
Nossa Senhora de Nazaré (PI),71.8,22.6,27.31,256.22
Nossa Senhora do Livramento (MT),74.2,16.6,24.62,335.56
Nossa Senhora do Socorro (SE),73.64,17.7,11.46,379.98
Nossa Senhora dos Remédios (PI),68.92,31.3,39.54,183.4
Nova Aliança do Ivaí (PR),72.64,17.1,12.45,528.26
Nova Aliança (SP),74.56,15.4,5.99,662.48
Nova Alvorada do Sul (MS),73.52,20.5,10.04,830.08
Nova Alvorada (RS),75.25,12.4,8.76,925.66
Nova América da Colina (PR),73.53,14.8,14.87,472.29
Nova América (GO),72.73,16.5,17.46,447.78
Nova Andradina (MS),75.97,16.1,9.11,688.15
Nova Araçá (RS),75.56,12.8,2.62,1134.76
Nova Aurora (GO),75.93,12,10.71,635.99
Nova Aurora (PR),75.66,11.8,5.26,734.83
Nova Bandeirantes (MT),75.51,14.6,8.48,608.32
Nova Bassano (RS),75.93,12.3,3.44,1010.72
Nova Belém (MG),71.06,22.2,25.99,265.9
Nova Boa Vista (RS),75.13,12.6,2.58,928.49
Nova Brasilândia D'Oeste (RO),70.75,23.8,12.31,499.59
Nova Brasilândia (MT),75.68,14.3,21.59,526.35
Nova Bréscia (RS),75.81,11.7,3.91,1452.06
Nova Campina (SP),72.94,18.1,10.41,330.03
Nova Canaã (BA),72.35,20.8,33.85,251.9
Nova Canaã do Norte (MT),73.9,17.1,13.53,591.9
Nova Canaã Paulista (SP),73.33,17.4,11.98,526.58
Nova Candelária (RS),76.36,11.7,2.24,1120.1
Nova Cantu (PR),72.49,16.3,18.82,446.81
Nova Castilho (SP),74.38,15.7,9.11,600.13
Nova Colinas (MA),69.96,29.5,24.94,181.59
Nova Crixás (GO),73.78,16.7,20.42,531.22
Nova Cruz (RN),72.28,20.3,33.67,313.34
Nova Era (MG),74.48,16.2,7.25,532.58
Nova Erechim (SC),76.03,12.2,6.19,944.83
Nova Esperança do Piriá (PA),70.44,25.6,28.61,160.34
Nova Esperança do Sudoeste (PR),73.28,15.1,9.98,678.29
Nova Esperança do Sul (RS),75.89,11.6,5.67,717.7
Nova Esperança (PR),74.72,13.1,9.32,719.26
Nova Europa (SP),77.11,11.7,7.56,697.32
Nova Fátima (BA),69.26,29.7,25.52,287.32
Nova Fátima (PR),74.15,13.9,14.6,555.2
Nova Floresta (PB),70.45,26,30.81,287.45
Nova Friburgo (RJ),75.77,13.21,5.27,894.75
Nova Glória (GO),73.94,14.7,16.23,476.52
Nova Granada (SP),74.05,16.2,7.28,737.29
Nova Guarita (MT),73.72,17.4,12.21,520.94
Nova Guataporanga (SP),75.52,12.8,13.35,652.36
Nova Hartz (RS),75.14,12.6,3.54,600
Nova Ibiá (BA),67.86,34.4,31.4,378.1
Nova Iguaçu de Goiás (GO),73.71,15,11.31,435.91
Nova Iguaçu (RJ),74.08,15.35,4.89,591
Nova Independência (SP),74.63,15.3,8.28,533.68
Nova Iorque (MA),68.74,33.5,33.53,257.61
Nova Ipixuna (PA),70.98,24,23.91,315.1
Novais (SP),74.32,15.8,11.72,671.15
Nova Itaberaba (SC),77.54,10.3,9.84,868.83
Nova Itarana (BA),68.73,31.4,33.73,188.86
Nova Lacerda (MT),74.52,16.1,12.39,437.33
Nova Laranjeiras (PR),74.96,12.8,13.64,366.26
Nova Lima (MG),78.1,11.67,3.01,1731.84
Nova Londrina (PR),76.36,11,9.16,777.47
Nova Luzitânia (SP),73.49,17.2,12.28,643.07
Nova Mamoré (RO),71.15,22.7,14.22,377.34
Nova Marilândia (MT),74.4,16.3,12.37,550.29
Nova Maringá (MT),73.88,17.2,10.6,629.46
Nova Módica (MG),71.72,20.9,26.1,355.66
Nova Monte Verde (MT),74.38,16.4,9.26,586.65
Nova Mutum (MT),75.2,15.1,4.09,982.9
Nova Nazaré (MT),72.6,19.4,23.86,381.54
Nova Odessa (SP),76.68,11.3,3.77,878.14
Nova Olímpia (MT),73.23,18.2,14.03,639.03
Nova Olímpia (PR),73.8,15.3,14.14,619.47
Nova Olinda (CE),71.72,21.6,25.42,272.1
Nova Olinda do Maranhão (MA),70.32,28.4,30.73,225.16
Nova Olinda do Norte (AM),71.81,20.5,13.99,232.07
Nova Olinda (PB),69.61,28.6,34.49,255.69
Nova Olinda (TO),70.92,23.9,18.56,365.84
Nova Pádua (RS),76.11,11.3,3.72,914.36
Nova Palma (RS),75.44,12.2,3.79,915.86
Nova Palmeira (PB),70.73,25.2,26.37,272.29
Nova Petrópolis (RS),78.38,9.3,2.11,994.67
Nova Ponte (MG),75.08,15.2,9.44,771.68
Nova Porteirinha (MG),73.63,17.5,20.08,302.09
Nova Prata do Iguaçu (PR),72.89,16.8,10.98,668.06
Nova Prata (RS),75.36,13.1,3.02,1039.74
Nova Ramada (RS),75.84,12.4,6.87,861.28
Nova Redenção (BA),68.36,32.7,29.33,222.33
Nova Resende (MG),75.33,14.8,8.55,576.41
Nova Roma do Sul (RS),76.06,12.1,4.87,1120.95
Nova Roma (GO),73.71,15,21.59,323.19
Nova Rosalândia (TO),72.47,19.8,16.43,299.38
Nova Russas (CE),70.25,25.7,30.5,304.52
Nova Santa Bárbara (PR),72.91,15.7,17.87,511.42
Nova Santa Helena (MT),73.53,17.7,13.09,824.04
Nova Santa Rita (PI),71.17,24.4,31.53,202.99
Nova Santa Rita (RS),76.2,11.2,4.83,686.87
Nova Santa Rosa (PR),73.52,14.8,3.39,758.84
Nova Serrana (MG),76.82,12.7,5.12,659.74
Nova Soure (BA),67.71,34.9,34.3,241.71
Nova Tebas (PR),72.27,16.7,19.74,408.22
Nova Timboteua (PA),72.43,20.1,21.55,267.59
Nova Trento (SC),78.43,9.2,3.88,847.77
Nova Ubiratã (MT),73.95,17,9.12,599.32
Nova União (MG),74.06,16.8,13.39,387.68
Nova União (RO),70.17,25.4,15.11,352.24
Nova Venécia (ES),75.48,13.4,12.22,592.06
Nova Veneza (GO),75.24,12.8,9.1,521.4
Nova Veneza (SC),77.14,10.8,3.57,805.79
Nova Viçosa (BA),71.77,22.3,20.76,476.79
Nova Xavantina (MT),73,18.6,11.56,674.44
Novo Acordo (TO),72.81,19,16.33,374.83
Novo Airão (AM),71.55,21.2,16.66,246.44
Novo Alegre (TO),73.72,16.8,15.11,433.31
Novo Aripuanã (AM),70.52,24,21.18,219.69
Novo Barreiro (RS),73.45,15,11.37,768.98
Novo Brasil (GO),74.66,13.6,13.98,588.85
Novo Cabrais (RS),76.12,11.3,9.26,611.08
Novo Cruzeiro (MG),72.83,18.9,30.44,264.66
Novo Gama (GO),76.06,10.8,7.3,498.44
Novo Hamburgo (RS),76.11,12.26,3.52,1011.62
Novo Horizonte (BA),70.42,26.1,23.4,257.12
Novo Horizonte do Norte (MT),74.17,16.7,16.03,463.77
Novo Horizonte do Oeste (RO),72.92,18.2,15.68,346.38
Novo Horizonte do Sul (MS),72.86,21.7,14.11,472.75
Novo Horizonte (SC),75.76,12.5,13.85,623.51
Novo Horizonte (SP),76.92,12,8,806.75
Novo Itacolomi (PR),74.88,12.9,10.93,553.56
Novo Jardim (TO),68.78,30.4,21.86,259.32
Novo Lino (AL),66.38,42.4,39.23,239.75
Novo Machado (RS),72.74,16,7.49,531.07
Novo Mundo (MT),73.9,17.1,12.25,461.47
Novo Oriente (CE),70.79,24.2,37.03,247.79
Novo Oriente de Minas (MG),70.26,23.8,34.02,274.37
Novo Oriente do Piauí (PI),71.49,23.5,35.32,240.65
Novo Planalto (GO),74.83,13.4,19.82,387.14
Novo Progresso (PA),74.66,14.9,9.66,658.31
Novo Repartimento (PA),69.48,28.5,22.35,256.37
Novorizonte (MG),73.26,18.2,23.52,299.95
Novo Santo Antônio (MT),74.74,15.8,13.55,428.26
Novo Santo Antônio (PI),67.13,37.6,40.55,224.54
Novo São Joaquim (MT),74.14,16.7,16.54,480.73
Novo Tiradentes (RS),73.3,15.2,16.32,548.05
Novo Triunfo (BA),71.15,24,24.97,194.56
Novo Xingu (RS),76,11.4,5.92,847.22
Nuporanga (SP),76.94,11.9,5.73,751.92
Óbidos (PA),70.35,25.8,13.73,255.03
Ocara (CE),71.25,22.9,32.88,208.77
Ocauçu (SP),74.81,15,9.44,547.66
Oeiras do Pará (PA),70.21,26.2,19.85,181.86
Oeiras (PI),70.19,27.3,27.45,376.95
Oiapoque (AP),71.71,20,9.82,598.38
Olaria (MG),74.37,16.3,18.6,423.44
Óleo (SP),76.46,12.6,6.32,676.94
Olho D'Água das Cunhãs (MA),70.24,28.6,37.07,247.36
Olho D'Água das Flores (AL),70.13,29,31.49,274.46
Olho-D'Água do Borges (RN),68.14,32.6,36.79,290.17
Olho D'Água do Casado (AL),72.09,23.2,38.25,211.97
Olho D'Água do Piauí (PI),69.73,28.7,22.21,225.8
Olho D'Água Grande (AL),65.4,46.4,45.53,151.62
Olho D'Água (PB),71.53,22.9,36.4,220.96
Olhos-D'Água (MG),73.72,17.4,19.72,348.9
Olímpia (SP),77.02,10.9,5.84,783.14
Olímpio Noronha (MG),73.56,17.6,15.21,475.23
Olinda Nova do Maranhão (MA),68.43,34.6,28.16,173.63
Olinda (PE),75.16,14.79,7.35,640.13
Olindina (BA),73.6,17.6,31.27,222.62
Olivedos (PB),70.96,24.5,20.76,217.32
Oliveira de Fátima (TO),72.86,18.8,18.26,396.97
Oliveira dos Brejinhos (BA),69.81,28,24.03,220.72
Oliveira Fortes (MG),72.61,19.3,17.48,369.25
Oliveira (MG),75.51,14.6,6.46,588.2
Olivença (AL),65.63,45.4,40.11,195.19
Onça de Pitangui (MG),73.33,18,11.89,446.23
Onda Verde (SP),76.78,12.1,8.74,597.67
Oratórios (MG),74.42,16.2,16.9,395.74
Oriente (SP),75.22,14.4,6.85,694.16
Orindiúva (SP),74.42,15.6,7.22,699.63
Oriximiná (PA),71.66,22.1,12.49,332.29
Orizânia (MG),71.67,21,17.33,247.35
Orizona (GO),74.64,13.7,8.63,714.39
Orlândia (SP),77.89,8.93,5.45,934.54
Orleans (SC),77.35,10.5,4.74,844.35
Orobó (PE),72.19,20.8,31.93,237.64
Orocó (PE),70.96,24.1,25.96,224.41
Orós (CE),72.58,19.4,31.63,298.84
Ortigueira (PR),73.63,14.6,19.84,408.86
Osasco (SP),75.42,13.36,3.64,1003.4
Oscar Bressane (SP),74.36,15.7,10.18,675.35
Osório (RS),76.18,12,4.41,957.94
Osvaldo Cruz (SP),75.22,14.4,6.8,797.55
Otacílio Costa (SC),75.12,13.4,7.11,677.67
Ourém (PA),68.63,31.2,22.57,285.61
Ouriçangas (BA),71.74,22.4,29.42,281.59
Ouricuri (PE),71.4,22.9,30.78,291.75
Ourilândia do Norte (PA),72.72,19.4,13.53,466.52
Ourinhos (SP),76.53,11.5,5.24,868.91
Ourizona (PR),73.2,15.2,9.55,709.99
Ouro Branco (AL),66.99,40,33.08,227.56
Ouro Branco (MG),77.31,12,4.98,866.02
Ouro Branco (RN),72.31,20.3,22.17,355.71
Ouroeste (SP),76.93,11.9,9.73,694.33
Ouro Fino (MG),76.66,12.9,9.11,635.38
Ourolândia (BA),67.03,37.4,30.28,239.93
Ouro Preto do Oeste (RO),73.72,16.3,11.18,576.51
Ouro Preto (MG),75.03,15.3,5.23,710.55
Ouro (SC),78.06,9.7,4.52,987.45
Ouro Velho (PB),70.86,24.8,24.65,305.23
Ouro Verde de Goiás (GO),74.27,14.2,12.67,525.12
Ouro Verde de Minas (MG),72.35,19.7,30.04,298.76
Ouro Verde do Oeste (PR),74.02,14,10.85,578.86
Ouro Verde (SC),72.4,17.6,12.48,607.09
Ouro Verde (SP),73.81,16.6,14.25,504.63
Ouvidor (GO),74.81,13.4,7.19,710.38
Pacaembu (SP),75.6,13.8,10.9,694.16
Pacajá (PA),69.78,27.6,23.46,231.91
Pacajus (CE),72.3,20.1,19.66,354.78
Pacaraima (RR),72.29,19,10.79,388.35
Pacatuba (CE),71.75,21.6,10.06,344.63
Pacatuba (SE),68.84,31.2,31.82,195.47
Paço do Lumiar (MA),72.74,21.3,6.13,444.5
Pacoti (CE),71.38,22.5,22.2,279.49
Pacujá (CE),69.7,27.4,30.45,264.03
Padre Bernardo (GO),73.04,16,15.38,518.12
Padre Carvalho (MG),72.71,19.1,29.02,286.32
Padre Marcos (PI),66.95,38.2,44.42,217.66
Padre Paraíso (MG),72.83,18.9,24.6,253.77
Paes Landim (PI),68.28,33.4,27.99,225.53
Paial (SC),75.84,12.4,9.95,644.16
Paiçandu (PR),75,12.7,8.13,610.64
Paim Filho (RS),77.17,10,8.2,729.03
Paineiras (MG),74.41,16.2,11.67,589.16
Painel (SC),73.45,15.9,10.75,511.7
Pains (MG),77.43,11.8,7.89,690.97
Pai Pedro (MG),70.62,23,34.6,203.93
Paiva (MG),75.72,14.2,13.74,476.35
Pajeú do Piauí (PI),68.9,31.4,35.78,261.36
Palestina (AL),69.08,32.5,37.47,185.39
Palestina de Goiás (GO),75.2,12.9,9.86,473.62
Palestina do Pará (PA),70.63,25,25.46,284.54
Palestina (SP),75.88,13.4,8.66,692.43
Palhano (CE),68.35,31.7,30.37,281.69
Palhoça (SC),76.55,12.35,4.12,862.74
Palmácia (CE),69.54,27.9,26.03,315.23
Palma (MG),75.45,14.6,11.57,494.63
Palmares do Sul (RS),76.12,11.3,8.55,730.31
Palmares Paulista (SP),75.21,14.4,11.7,615.01
Palmares (PE),69.62,28.1,23.01,311.09
Palmas de Monte Alto (BA),71.61,22.7,30.88,262.69
Palma Sola (SC),73.01,16.6,9.73,623.64
Palmas (PR),74.59,13.3,10.02,575.55
Palmas (TO),74.61,15.28,4,1087.35
Palmeira das Missões (RS),74.83,13,9.28,715.29
Palmeira D'Oeste (SP),74.76,15.1,9.27,707.38
Palmeira do Piauí (PI),67.26,37.1,28.81,278.54
Palmeira dos Índios (AL),72.61,21.8,26.05,391.37
Palmeirais (PI),71.57,23.2,34.19,197.04
Palmeirândia (MA),67.9,36.5,28.17,167.06
Palmeirante (TO),70.37,25.5,21.79,267.76
Palmeira (PR),74.56,13.3,4.48,729.05
Palmeiras (BA),71.91,21.9,19.05,350.79
Palmeira (SC),74.61,14.1,12.1,471.82
Palmeiras de Goiás (GO),73.87,14.8,10.38,616.59
Palmeiras do Tocantins (TO),73.61,17,18.62,307.43
Palmeirina (PE),65.87,41.2,35.66,251.44
Palmeirópolis (TO),74.01,16.1,14.22,463.45
Palmelo (GO),73.22,15.7,11.52,769.47
Palminópolis (GO),74.98,13.2,13.81,695.63
Palmital (PR),72.48,17.4,15.59,447.15
Palmital (SP),73.83,16.6,5.89,739.37
Palmitinho (RS),75.13,12.6,9.55,652.86
Palmitos (SC),75.13,13.4,7.35,887.5
Palmópolis (MG),69.29,25.8,32.41,259.75
Palotina (PR),76.85,10.4,6.18,904.85
Panamá (GO),74.09,14.4,16.52,579.89
Panambi (RS),75.9,13.47,3.1,864.44
Pancas (ES),73.89,15.6,18.78,451.21
Panelas (PE),71.68,22.1,41.39,238.61
Panorama (SP),73.81,16.6,9.08,722.51
Pantano Grande (RS),73.93,14.2,11.33,536.01
Pão de Açúcar (AL),72.58,21.8,33.49,224.33
Papagaios (MG),74.96,15.4,9.94,455.96
Papanduva (SC),75.17,13.3,7.29,589.35
Paquetá (PI),68.88,31.4,46.68,202.6
Paracambi (RJ),73.73,15.9,5.81,580.49
Paracatu (MG),76.22,13.5,8.14,637.8
Paracuru (CE),69.73,27.3,21.8,328.2
Pará de Minas (MG),75.87,14,4.13,686.42
Paragominas (PA),71.87,23.14,13.98,507.16
Paraguaçu (MG),75.98,13.9,7.7,587.36
Paraguaçu Paulista (SP),75.18,14.5,7.11,694.42
Paraíba do Sul (RJ),73.7,15.9,6.42,613.56
Paraibano (MA),68.37,34.8,33.46,281.23
Paraibuna (SP),73.91,16.5,9.85,657.59
Paraipaba (CE),69.25,28.8,21.64,283.79
Paraí (RS),76.97,11,2.91,1071.25
Paraíso do Norte (PR),74.5,14.3,9.78,864.18
Paraíso do Sul (RS),74.84,13,7.91,593.01
Paraíso do Tocantins (TO),74.88,14.2,7.34,899.57
Paraisópolis (MG),76.11,13.7,8.78,592.61
Paraíso (SC),75,13.6,11.9,743.76
Paraíso (SP),75.19,13.3,9.61,855.28
Parambu (CE),70.85,24,38.04,211.05
Paramirim (BA),71.53,22.9,21.34,343.78
Paramoti (CE),69.45,28.2,32.58,196.63
Paranacity (PR),75.36,12.2,11.6,582.06
Paranaguá (PR),76.12,10.81,4.12,765.85
Paranaíba (MS),74.38,18.9,11.52,738.58
Paranaiguara (GO),75.14,13,14.64,631.89
Paranaíta (MT),73.54,17.7,12.14,540.22
Paranapanema (SP),75.31,14.3,9.64,613.31
Paranapoema (PR),75.06,12.6,14.27,549.69
Paranapuã (SP),75.52,14,11.39,670.18
Paraná (RN),71.56,22.2,35.58,219.34
Paranatama (PE),67.17,36.3,40.1,213.74
Paranatinga (MT),74.18,16.7,12.21,547.43
Paranã (TO),71.63,22,28.33,311.37
Paranavaí (PR),75.62,11.9,7.42,852.66
Paranhos (MS),73.65,20.2,19.63,271.52
Paraopeba (MG),72.55,19.4,6.51,530.79
Parapuã (SP),74.78,15.1,9.21,597.44
Parari (PB),68.98,30.6,22.35,300.27
Paratinga (BA),71.46,23.1,26.67,201.79
Paraty (RJ),75.52,13.4,8.77,734.36
Parauapebas (PA),73.55,17.4,8.68,627.61
Paraúna (GO),73.4,15.4,12.51,575.52
Paraú (RN),68.23,32.3,29.64,298.75
Parazinho (RN),68.15,32.6,35.35,234.75
Pardinho (SP),74.23,15.9,8.3,696.71
Pareci Novo (RS),76.12,11.3,1.72,788.66
Parecis (RO),73,18,16.03,343.73
Parelhas (RN),73.09,18.3,18.32,390.54
Pariconha (AL),70.23,28.7,34.7,211.13
Parintins (AM),72.97,17.7,6.57,313.07
Paripiranga (BA),68.02,33.8,30.31,273.23
Paripueira (AL),71,26.4,25.73,324.93
Pariquera-Açu (SP),76.7,12.3,7.25,557.69
Parisi (SP),75.5,14,11.15,705.62
Parnaguá (PI),71.64,23,28.49,211.44
Parnaíba (PI),73.98,16.83,17.54,479.58
Parnamirim (PE),71.58,22.4,26.61,255.27
Parnamirim (RN),74.52,15.01,8.39,850.44
Parnarama (MA),70.5,27.8,38.57,183.8
Parobé (RS),78.18,8.9,4.86,625.4
Passabém (MG),72.23,20,19.07,405.19
Passa E Fica (RN),70.79,24.4,34.81,269.09
Passagem Franca do Piauí (PI),70.46,26.4,41.5,323.31
Passagem Franca (MA),68.04,36,38.1,210.4
Passagem (PB),72.41,20.6,30.73,270.29
Passagem (RN),69.83,27.2,30.41,241.15
Passa Quatro (MG),76.59,13,6.08,561.44
Passa Sete (RS),71.94,17.3,14.04,427.13
Passa Tempo (MG),73.46,17.8,8.18,535.96
Passa-Vinte (MG),73.53,17.7,14.31,493.38
Passira (PE),70.78,24.6,34.44,259.04
Passo de Camaragibe (AL),67.19,39.3,34.97,194.73
Passo de Torres (SC),77.13,10.8,7.33,602.85
Passo do Sobrado (RS),76.04,11.4,6.24,732.19
Passo Fundo (RS),75.95,11.73,3.77,1068.95
Passos Maia (SC),73.46,15.8,10.63,450.78
Passos (MG),78.15,10.35,5.84,802.97
Pastos Bons (MA),70.18,28.8,26.55,230.94
Patis (MG),72.23,20,25.44,244.72
Pato Bragado (PR),73.42,14.9,4.02,824.97
Pato Branco (PR),75.72,11.8,4.61,1013.22
Patos de Minas (MG),76.31,14.47,5.69,843.57
Patos do Piauí (PI),70.28,27,41.93,215.75
Patos (PB),74.26,15.27,19.51,508.52
Patrocínio do Muriaé (MG),72.78,19,10.27,590.26
Patrocínio (MG),76.14,13.6,6.92,720.59
Patrocínio Paulista (SP),74.55,15.4,7.19,607.51
Patu (RN),71.07,23.6,29.68,331.98
Paty do Alferes (RJ),73.34,16.4,13.1,562.52
Pau Brasil (BA),68.6,31.9,30.67,296.08
Paudalho (PE),71.92,21.5,22.62,360.06
Pau D'Arco do Piauí (PI),69.5,29.4,37.63,167.01
Pau D'Arco (PA),69.86,27.3,24.69,279.72
Pau D'Arco (TO),72.51,19.7,20.44,380.41
Pau dos Ferros (RN),73.16,18.2,19.21,504.82
Pauini (AM),68.45,30.2,30.96,218.21
Paula Cândido (MG),74.38,16.3,10.65,407.91
Paula Freitas (PR),75.79,11.7,5.54,621.46
Paulicéia (SP),73.64,16.9,10.08,592.42
Paulínia (SP),76.83,12.62,3.65,1160.79
Paulino Neves (MA),68.18,35.5,33.27,159.46
Paulistana (PI),71,24.9,32.14,327.06
Paulistânia (SP),74.04,16.3,10.91,560.94
Paulista (PB),69.79,28,34.46,308.48
Paulista (PE),74.77,15,6.44,528.04
Paulistas (MG),72.44,19.6,21.86,321.22
Paulo Afonso (BA),72.34,20.8,17.74,544.73
Paulo Bento (RS),76.49,10.8,4.3,749.77
Paulo de Faria (SP),73,18,10.73,708.63
Paulo Frontin (PR),73.34,15,3.95,579.76
Paulo Jacinto (AL),68.94,33,34.73,247.2
Paulo Lopes (SC),76.91,11,11.72,650.58
Paulo Ramos (MA),65.64,45.3,39.51,239.23
Pavão (MG),73.77,17.3,25.23,333.55
Paverama (RS),75.42,12.2,6.75,628.77
Pavussu (PI),69.85,28.3,37.66,193.61
Peabiru (PR),74.56,13.3,11.16,737.63
Peçanha (MG),72.23,20,21.39,404.21
Pederneiras (SP),73.74,16.8,7.07,788.42
Pé de Serra (BA),71.74,22.4,26.5,257.45
Pedra Azul (MG),72.79,19,21.99,327.18
Pedra Bela (SP),72.77,18.4,12.27,521.38
Pedra Bonita (MG),69.41,25.5,15.84,256.67
Pedra Branca (CE),71.73,21.6,35.99,231.56
Pedra Branca do Amapari (AP),71.73,20,18.12,397.98
Pedra Branca (PB),70.68,25.3,27.62,219.29
Pedra do Anta (MG),74.26,16.5,20.88,418.07
Pedra do Indaiá (MG),75.6,14.4,11.52,578.46
Pedra Dourada (MG),74.64,15.9,14.02,406.3
Pedra Grande (RN),71.35,22.8,26.62,210.52
Pedra Lavrada (PB),68.96,30.6,29.6,267.79
Pedralva (MG),73.39,17.9,9.48,541.01
Pedra Mole (SE),66.88,38.1,29.84,332.75
Pedranópolis (SP),76.26,12.9,9.95,615.77
Pedrão (BA),71.5,23,23.81,221.53
Pedra (PE),69.59,28.2,35.32,244.48
Pedra Preta (MT),73.73,17.4,14.12,523.92
Pedra Preta (RN),70.1,26.4,25.21,216.3
Pedras Altas (RS),74.19,13.9,10.63,449.2
Pedras de Fogo (PB),71.23,23.8,32.65,273.39
Pedras de Maria da Cruz (MG),72.22,20,25.48,268.27
Pedras Grandes (SC),77.18,10.7,5.32,683.36
Pedregulho (SP),74.2,16,7.98,690.08
Pedreiras (MA),72.49,22,20.64,441.42
Pedreira (SP),76.82,12.1,4.93,853.76
Pedrinhas Paulista (SP),75.19,13.3,7.47,847.63
Pedrinhas (SE),70.01,27.5,29.02,273.91
Pedrinópolis (MG),76.29,13.4,10.82,702.77
Pedro Afonso (TO),75.77,12.4,11.27,618.56
Pedro Alexandre (BA),71.68,22.6,44.24,167.65
Pedro Avelino (RN),72.27,20.4,30.5,289.53
Pedro Canário (ES),73.71,15.9,19.64,437.08
Pedro de Toledo (SP),73.71,16.8,11.02,467.93
Pedro do Rosário (MA),66.77,40.7,31.07,154
Pedro Gomes (MS),73.04,21.4,18.3,524.83
Pedro Ii (PI),70.99,24.9,33.83,270.17
Pedro Laurentino (PI),69.74,28.7,23.65,157.24
Pedro Leopoldo (MG),76.33,13.4,5.61,721.11
Pedro Osório (RS),74.76,13.1,9.16,560.06
Pedro Régis (PB),70.21,26.7,46.13,215.39
Pedro Teixeira (MG),72.61,19.3,12.18,309.25
Pedro Velho (RN),69.27,28.9,33.99,263.8
Peixe-Boi (PA),70.23,26.2,23.92,234.4
Peixe (TO),73.69,16.8,17.82,547.9
Peixoto de Azevedo (MT),70.65,23,16.04,589.21
Pejuçara (RS),77.03,10.2,4.78,722.64
Pelotas (RS),75.64,12.39,4.31,894.35
Penaforte (CE),70.64,24.6,23.95,271.18
Penalva (MA),66.57,41.5,22.88,201.99
Penápolis (SP),76.55,12.43,5.75,840.16
Pendências (RN),70.17,26.1,24.44,412.01
Penedo (AL),71.42,25.1,24.53,339.15
Penha (SC),77.02,10.9,3.75,793.53
Pentecoste (CE),69.06,29.4,26.67,264.95
Pequeri (MG),77.05,12.4,8.73,593.92
